No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
,24.0,CB,0,0,193,2-Jun,Baylor,6/10/00,2,,Los Angeles Chargers / 3rd / 79th pick / 2022,WoodJT00
87.0,23.0,TE,15,5,251,6-Jun,Clemson,2/3/01,1,0.0,Los Angeles Rams / 5th / 175th pick / 2023,AlleDa02
5.0,25.0,WR,17,5,165,9-May,Louisville,10/7/99,3,5.0,Los Angeles Rams / 2nd / 57th pick / 2021,AtweTu00
73.0,25.0,OL,10,10,338,3-Jun,TCU,10/16/99,1,5.0,Los Angeles Rams / 2nd / 36th pick / 2023,AvilSt00
13.0,27.0,QB,0,0,190,11-May,Jones County JCGeorgia,10/28/97,Rook,,Los Angeles Rams / 4th / 128th pick / 2023,BennSt00
95.0,24.0,NT,17,16,332,4-Jun,Texas A&M,8/7/00,3,7.0,Los Angeles Rams / 4th / 117th pick / 2021,BrowBo04
3.0,25.0,DB,16,16,205,2-Jun,Arkansas,3/31/99,4,6.0,Washington Football Team / 7th / 216th pick / 2020,CurlKa00
90.0,24.0,DL,16,0,299,2-Jun,Clemson,11/1/00,Rook,1.0,Los Angeles Rams / 6th / 196th pick / 2024,DaviTy05
67.0,24.0,OL,13,3,300,2-Jun,USC,4/24/00,Rook,2.0,,DediJu00
69.0,28.0,OL,16,16,330,4-Jun,Louisiana,9/18/96,4,8.0,Pittsburgh Steelers / 4th / 135th pick / 2020,DotsKe00
14.0,26.0,DB,15,14,182,11-May,South Carolina St.,2/9/98,2,5.0,Los Angeles Rams / 4th / 142nd pick / 2022,DuraDe01
42.0,23.0,P,16,0,250,3-Jun,Wingate,7/19/01,1,2.0,Los Angeles Rams / 7th / 223rd pick / 2023,EvanEt00
55.0,24.0,DE,17,8,295,4-Jun,Western MichiganFlorida St.,1/18/00,Rook,5.0,Los Angeles Rams / 2nd / 39th pick / 2024,FiskBr00
25.0,23.0,CB,2,1,180,Jun-00,Mississippi St.,1/13/01,1,0.0,Washington Commanders / 1st / 16th pick / 2023,ForbEm00
92.0,27.0,NT,14,4,315,2-Jun,Oklahoma,1/17/97,4,2.0,Dallas Cowboys / 3rd / 82nd pick / 2020,GallNe00
11.0,33.0,QB,1,1,225,2-Jun,Eastern Illinois,11/2/91,10,1.0,New England Patriots / 2nd / 62nd pick / 2014,GaroJi00
79.0,32.0,OL,11,11,323,8-Jun,Wisconsin,5/13/92,9,5.0,St. Louis Rams / 2nd / 57th pick / 2015,HaveRo00
89.0,31.0,TE,3,3,255,6-Jun,Western Kentucky,1/1/93,8,1.0,Los Angeles Rams / 4th / 110th pick / 2016,HigbTy00
97.0,27.0,OLB,17,5,267,4-Jun,Brown,10/5/97,3,3.0,,HoecMi00
35.0,25.0,LB,17,1,227,1-Jun,Iowa St.,1/4/99,2,2.0,,HummJa00
77.0,26.0,OL,14,14,345,7-Jun,Iowa,7/14/98,3,7.0,,JackAl01
44.0,24.0,OLB,7,1,266,4-Jun,Washington St.,10/14/00,Rook,1.0,Los Angeles Rams / 5th / 154th pick / 2024,JackBr02
72.0,27.0,G,4,4,315,4-Jun,RutgersOhio St.,2/5/97,4,2.0,Detroit Lions / 3rd / 75th pick / 2020,JackJo03
94.0,25.0,DE,10,0,285,3-Jun,Toledo,9/3/99,1,1.0,Los Angeles Rams / 7th / 259th pick / 2023,JohnDe08
43.0,29.0,S,2,1,204,Jun-00,Boston Col.,12/19/95,7,1.0,Los Angeles Rams / 3rd / 91st pick / 2017,JohnJo10
18.0,26.0,WR,15,2,208,1-Jun,Minnesota,8/25/98,4,3.0,Tampa Bay Buccaneers / 5th / 161st pick / 2020,JohnTy00
16.0,22.0,K,17,0,207,2-Jun,Stanford,3/7/02,Rook,2.0,Los Angeles Rams / 6th / 209th pick / 2024,KartJo00
26.0,22.0,DB,17,4,207,11-May,Miami (FL),9/29/02,Rook,3.0,Los Angeles Rams / 3rd / 99th pick / 2024,KincKa00
10.0,31.0,WR,12,11,207,2-Jun,Eastern Washington,6/15/93,7,6.0,Los Angeles Rams / 3rd / 69th pick / 2017,KuppCo00
37.0,25.0,DB,17,16,196,1-Jun,UCLA,1/29/99,2,5.0,Los Angeles Rams / 6th / 211th pick / 2022,LakeQu00
50.0,23.0,OL,16,14,312,5-Jun,Arkansas,6/10/01,Rook,7.0,Los Angeles Rams / 6th / 217th pick / 2024,LimmBe00
84.0,26.0,TE,17,2,243,5-Jun,Boston Col.,8/19/98,3,1.0,Miami Dolphins / 3rd / 81st pick / 2021,LongHu00
71.0,23.0,OL,13,5,317,4-Jun,Georgia,4/11/01,1,3.0,Los Angeles Rams / 5th / 174th pick / 2023,McClWa00
39.0,24.0,DB,17,1,202,Jun-00,Tennessee,10/12/00,Rook,2.0,,McCoJa02
63.0,23.0,OL,1,1,298,3-Jun,North Carolina St.,1/22/01,Rook,0.0,Philadelphia Eagles / 6th / 190th pick / 2024,McMaDy00
17.0,23.0,WR,11,11,212,2-Jun,WashingtonBYU,5/29/01,1,9.0,Los Angeles Rams / 5th / 177th pick / 2023,NacuPu00
70.0,29.0,OL,4,4,300,5-Jun,TCU,6/19/95,6,2.0,Los Angeles Rams / 3rd / 89th pick / 2018,NoteJo00
86.0,25.0,TE,17,9,265,7-Jun,Stanford,1/8/99,4,3.0,Seattle Seahawks / 4th / 133rd pick / 2020,ParkCo02
20.0,25.0,RB,17,0,192,9-May,Fresno St.,1/31/99,2,1.0,,RiveRo01
15.0,30.0,WR,17,17,202,1-Jun,Florida,9/21/94,8,4.0,Kansas City Chiefs / 4th / 126th pick / 2016,RobiDe01
56.0,27.0,LB,17,11,237,2-Jun,South Dakota St.,1/30/97,3,5.0,,RozeCh00
32.0,25.0,RB,1,0,202,8-May,Truman St.Missouri,9/8/99,Rook,0.0,,SchrCo00
19.0,27.0,WR,15,0,176,9-May,Florida A&M,9/21/97,1,0.0,,SmitXa00
48.0,23.0,LB,17,10,228,1-Jun,Oregon St.LSU,3/2/01,Rook,5.0,,SpeiOm00
9.0,36.0,QB,16,16,214,3-Jun,Georgia,2/7/88,15,12.0,Detroit Lions / 1st / 1st pick / 2009,StafMa00
91.0,25.0,DE,17,16,297,2-Jun,RichmondWake Forest,4/26/99,1,8.0,Los Angeles Rams / 3rd / 89th pick / 2023,TurnKo00
8.0,24.0,OLB,17,16,250,4-Jun,Albany (NY)Florida St.,11/4/00,Rook,10.0,Los Angeles Rams / 1st / 19th pick / 2024,VersJa00
30.0,24.0,DB,17,3,189,Jun-00,MassachusettsMichigan,7/5/00,Rook,2.0,,WallJo00
47.0,25.0,LS,17,0,241,4-Jun,Central Florida,4/21/99,1,1.0,,WardAl00
88.0,24.0,WR,15,3,202,1-Jun,Texas,10/1/00,Rook,3.0,Los Angeles Rams / 6th / 213th pick / 2024,WhitJo04
24.0,31.0,DB,12,11,192,9-May,Ala-Birmingham,3/15/93,6,4.0,,WillDa09
23.0,24.0,RB,16,16,202,9-May,Notre Dame,8/26/00,2,9.0,Los Angeles Rams / 5th / 164th pick / 2022,WillKy02
4.0,29.0,CB,13,5,195,2-Jun,Colorado,3/21/95,7,2.0,San Francisco 49ers / 3rd / 66th pick / 2017,WithAh00
0.0,26.0,OLB,17,16,258,2-Jun,Georgia MilitaryTennessee,3/13/98,1,7.0,Los Angeles Rams / 3rd / 77th pick / 2023,YounBy01
66.0,25.0,OL,0,0,337,4-Jun,Kansas St.,10/28/99,Rook,,Los Angeles Rams / 7th / 254th pick / 2024,LeveKT00
52.0,27.0,DE,0,0,285,2-Jun,North Carolina St.,4/24/97,4,,Tennessee Titans / 5th / 174th pick / 2020,MurcLa00
51.0,30.0,LB,6,6,236,3-Jun,Penn St.Delaware,9/13/94,5,3.0,,ReedTr01
22.0,24.0,RB,17,1,210,8-May,Michigan,11/25/00,Rook,2.0,Los Angeles Rams / 3rd / 83rd pick / 2024,CoruBl00
31.0,24.0,OLB,14,0,247,3-Jun,Appalachian St.,4/5/00,1,1.0,Los Angeles Rams / 5th / 161st pick / 2023,HampNi00
1.0,24.0,DB,0,0,199,Jun-00,ClemsonGeorgia,8/24/00,2,,Los Angeles Rams / 6th / 212th pick / 2022,KendDe00
64.0,32.0,T,0,0,305,8-Jun,UCLA,10/19/92,7,,New England Patriots / 6th / 211th pick / 2017,McDeCo00
6.0,24.0,DB,0,0,177,9-May,TCU,1/10/00,1,,Los Angeles Rams / 6th / 182nd pick / 2023,HodgTr00
61.0,27.0,OL,2,0,308,7-Jun,Michigan St.,8/13/97,2,0.0,Los Angeles Rams / 7th / 261st pick / 2022,ArcuAJ00
2.0,26.0,WR,0,0,208,1-Jun,Wisconsin,4/1/98,4,,Detroit Lions / 5th / 166th pick / 2020,CephQu00
40.0,25.0,LB,0,0,222,Jun-00,ArizonaWest Virginia,6/18/99,3,,Cleveland Browns / 5th / 153rd pick / 2021,FielTo00
27.0,26.0,CB,0,0,198,2-Jun,Oklahoma St.,6/9/98,4,,,GreeAJ00
93.0,26.0,DT,0,0,304,3-Jun,Northern IllinoisIowa,3/8/98,3,,,HeflJa00
34.0,25.0,DB,0,0,195,8-May,North Carolina State,10/29/99,Rook,,,InglTa00
38.0,26.0,DB,0,0,186,9-May,Appalachian St.,10/17/98,2,,,JollSh00
33.0,23.0,DB,4,0,176,11-May,Utah St.Washington St.,7/31/01,Rook,0.0,,LampCa00
58.0,23.0,LB,6,0,227,Jun-00,Marshall,9/11/01,Rook,0.0,,NealEl00
65.0,27.0,DL,0,0,315,3-Jun,Central Missouri,11/3/97,Rook,,,OlajDa00
6.0,25.0,WR,0,0,189,10-May,Oklahoma,6/16/99,Rook,,,StooDr00
96.0,26.0,OLB,1,1,260,2-Jun,South CarolinaFlorida St.,1/25/98,2,0.0,,ThomKe04
21.0,24.0,CB,12,0,185,11-May,Illinois St.West VirginiaSMU,6/17/00,Rook,1.0,,WoodCh01
74.0,24.0,OL,15,5,316,4-Jun,Wilfrid LaurierGarden City (KS)Illinois,7/21/00,Rook,3.0,Arizona Cardinals / 3rd / 71st pick / 2024,AdamIs01
3.0,28.0,S,17,17,195,10-May,Washington,1/10/96,7,9.0,Arizona Cardinals / 2nd / 36th pick / 2017,BakeBu00
51.0,26.0,LB,17,0,229,2-Jun,UCLA,4/2/98,4,1.0,,BarnKr00
68.0,35.0,OL,16,12,308,3-Jun,SMU,6/8/89,12,6.0,Pittsburgh Steelers / 7th / 248th pick / 2012,BeacKe00
46.0,34.0,LS,17,0,232,5-Jun,San Diego St.,7/5/90,12,1.0,,BrewAa00
62.0,28.0,OL,17,17,320,3-Jun,SMU,9/16/96,5,8.0,,BrowEv00
53.0,25.0,OLB,8,1,240,3-Jun,Ohio St.,2/19/99,3,1.0,Denver Broncos / 3rd / 105th pick / 2021,BrowBa01
22.0,25.0,RB,3,1,201,8-May,North Carolina,5/7/99,3,1.0,New York Jets / 4th / 107th pick / 2021,CartMi03
36.0,28.0,S,3,0,197,Jun-00,San Jose St.,2/10/96,3,0.0,,ChacAn00
13.0,23.0,CB,15,1,181,10-May,LibertyLouisville,3/19/01,1,1.0,Arizona Cardinals / 6th / 180th pick / 2023,ClarKe02
91.0,29.0,DL,17,15,291,2-Jun,TCU,9/12/95,5,7.0,Seattle Seahawks / 1st / 29th pick / 2019,CollLJ00
25.0,25.0,OLB,17,17,260,4-Jun,Tulsa,5/19/99,3,7.0,Arizona Cardinals / 1st / 16th pick / 2021,CollZa00
63.0,26.0,OL,17,7,313,3-Jun,Missouri,3/23/98,4,4.0,,ColoTr01
20.0,26.0,RB,17,0,214,10-May,Miami (FL),9/16/98,4,1.0,Seattle Seahawks / 4th / 144th pick / 2020,DallDe00
52.0,25.0,OLB,11,0,262,2-Jun,Duke,11/18/99,3,1.0,Arizona Cardinals / 6th / 210th pick / 2021,DimuVi00
4.0,26.0,WR,17,4,175,7-May,Wake Forest,5/29/98,5,3.0,,DortGr01
48.0,26.0,LB,2,0,228,1-Jun,WashingtonIllinois,2/13/98,3,0.0,,EiflMi00
72.0,28.0,OL,17,17,310,5-Jun,Arkansas,8/20/96,4,8.0,New England Patriots / 4th / 118th pick / 2019,FrohHj00
59.0,25.0,OL,13,0,303,4-Jun,UCLA,5/24/99,1,1.0,Arizona Cardinals / 4th / 122nd pick / 2023,GainJo00
18.0,22.0,WR,17,16,205,4-Jun,Ohio St.,8/11/02,Rook,8.0,Arizona Cardinals / 1st / 4th pick / 2024,HarrMa09
84.0,24.0,TE,17,6,235,3-Jun,Stanford,10/27/00,1,2.0,Miami Dolphins / 6th / 197th pick / 2023,HiggEl00
75.0,24.0,OL,2,1,318,5-Jun,Texas,5/12/00,Rook,1.0,Arizona Cardinals / 5th / 162nd pick / 2024,JoneCh12
96.0,26.0,DT,12,0,313,3-Jun,Michigan St.,2/5/98,3,1.0,,JoneNa01
27.0,26.0,LB,0,0,225,2-Jun,USCNorth Carolina St.,5/5/98,2,,,JoneVi00
17.0,29.0,WR,11,2,200,2-Jun,East Carolina,3/30/95,7,1.0,Buffalo Bills / 2nd / 37th pick / 2017,JoneZa00
50.0,27.0,OL,1,0,310,3-Jun,Rice,1/11/97,3,0.0,,LeveNi00
98.0,27.0,DL,16,16,318,2-Jun,New Mexico St.Arizona,8/7/97,3,7.0,Houston Texans / 6th / 195th pick / 2021,LopeRo00
85.0,25.0,TE,16,16,246,4-Jun,Colorado St.,11/22/99,2,11.0,Arizona Cardinals / 2nd / 55th pick / 2022,McBrTr01
16.0,22.0,CB,17,3,193,11-May,Rutgers,4/15/02,Rook,2.0,Arizona Cardinals / 2nd / 43rd pick / 2024,MeltMa00
23.0,27.0,CB,15,15,195,Jun-00,Central Michigan,6/19/97,5,5.0,Tampa Bay Buccaneers / 2nd / 39th pick / 2019,BuntSe00
1.0,27.0,QB,17,17,207,10-May,Texas A&MOklahoma,8/7/97,5,15.0,Arizona Cardinals / 1st / 1st pick / 2019,MurrKy00
58.0,27.0,OLB,13,1,250,4-Jun,Notre Dame,12/27/97,4,1.0,Detroit Lions / 3rd / 67th pick / 2020,OkwaJu00
10.0,32.0,P,4,0,200,11-May,Tennessee,7/6/92,8,0.0,,PalaMi00
44.0,24.0,LB,16,1,225,Jun-00,Auburn,9/29/00,1,1.0,Arizona Cardinals / 5th / 168th pick / 2023,PappOw00
0.0,30.0,WR,17,0,215,2-Jun,Old Dominion,12/18/94,6,0.0,,PascZa00
87.0,23.0,TE,17,9,273,4-Jun,Illinois,9/17/01,Rook,0.0,Arizona Cardinals / 3rd / 82nd pick / 2024,ReimTi00
56.0,23.0,DL,6,0,286,5-Jun,Missouri,9/13/01,Rook,0.0,Arizona Cardinals / 1st / 27th pick / 2024,RobiDa01
26.0,23.0,S,0,0,190,11-May,South CarolinaFlorida St.,1/24/01,1,,Carolina Panthers / 5th / 145th pick / 2023,RobiJa03
38.0,25.0,K,13,0,195,Jun-00,Eastern MichiganMaryland,10/15/99,1,3.0,New England Patriots / 4th / 112th pick / 2023,RylaCh00
55.0,25.0,DL,16,10,286,4-Jun,West Virginia,12/14/99,1,5.0,Arizona Cardinals / 6th / 213th pick / 2023,StilDa01
42.0,23.0,S,17,2,189,10-May,Texas Tech,1/20/01,Rook,1.0,Arizona Cardinals / 4th / 104th pick / 2024,TaylDa02
24.0,24.0,CB,17,15,194,10-May,Ala-Birmingham,1/25/00,1,5.0,,ThomSt01
54.0,25.0,OLB,14,0,244,2-Jun,Clemson,12/20/99,Rook,1.0,Arizona Cardinals / 5th / 138th pick / 2024,ThomXa01
34.0,26.0,S,15,15,190,11-May,Washington St.,7/18/98,5,5.0,Arizona Cardinals / 5th / 1st pick / 2019 Supp,ThomJa04
95.0,28.0,DL,13,1,338,4-Jun,BYU,7/7/96,3,1.0,Chicago Bears / 7th / 250th pick / 2021,TongKh00
15.0,25.0,QB,6,0,220,3-Jun,Houston,3/23/99,1,0.0,Arizona Cardinals / 5th / 139th pick / 2023,TuneCl00
81.0,26.0,TE,1,0,260,6-Jun,RutgersNebraska,6/4/98,1,0.0,,VokoTr00
89.0,24.0,WR,2,0,180,1-Jun,South FloridaColorado,10/12/00,Rook,0.0,,WeavXa00
7.0,28.0,LB,17,17,234,2-Jun,West Virginia,3/24/96,6,8.0,Los Angeles Chargers / 4th / 119th pick / 2018,WhitKy00
49.0,25.0,OLB,0,0,260,4-Jun,Holy Cross,2/12/99,1,,,WhitBe00
21.0,23.0,CB,16,11,192,10-May,Syracuse,6/1/01,1,4.0,Arizona Cardinals / 3rd / 72nd pick / 2023,WillGa00
2.0,26.0,LB,16,16,246,1-Jun,Alabama,2/14/98,5,7.0,Cleveland Browns / 5th / 155th pick / 2019,WilsMa03
14.0,24.0,WR,16,13,213,2-Jun,Stanford,2/23/00,1,5.0,Arizona Cardinals / 3rd / 94th pick / 2023,WilsMi02
90.0,32.0,DL,1,0,318,4-Jun,Auburn,11/14/92,9,0.0,Tennessee Titans / 4th / 100th pick / 2015,BlacAn00
28.0,24.0,CB,0,0,184,2-Jun,Boston Col.,1/8/00,Rook,,Arizona Cardinals / 3rd / 90th pick / 2024,JoneEl00
5.0,40.0,K,4,0,201,10-May,Central Florida,8/10/84,17,1.0,,PratMa20
66.0,29.0,OL,4,2,302,7-Jun,Utah,8/8/95,3,1.0,Indianapolis Colts / 7th / 240th pick / 2019,BartJa00
33.0,21.0,RB,13,1,223,1-Jun,OregonFlorida St.,7/21/03,Rook,2.0,Arizona Cardinals / 3rd / 66th pick / 2024,BensTr01
32.0,26.0,S,15,0,201,1-Jun,Virginia,11/16/98,2,1.0,,BlouJo00
6.0,29.0,RB,16,16,233,1-Jun,Pittsburgh,5/5/95,7,11.0,Pittsburgh Steelers / 3rd / 105th pick / 2017,ConnJa00
31.0,25.0,RB,13,0,215,9-May,Saddleback CollegeTCU,1/20/99,1,2.0,,DemeEm00
